Jurisdiction,Year,Sector,Taxa,Species,ValueAUD,ProductionT
SA,1989,wildcapture,crustaceans,prawns,23026,1984
SA,1990,wildcapture,crustaceans,prawns,22747,1970
SA,1991,wildcapture,crustaceans,prawns,21717,2085
SA,1992,wildcapture,crustaceans,prawns,21684,2085
SA,1993,wildcapture,crustaceans,prawns,19709,1645
SA,1994,wildcapture,crustaceans,prawns,24132,1919
SA,1995,wildcapture,crustaceans,prawns,24132,1919
SA,1996,wildcapture,crustaceans,prawns,26324,2271
SA,1997,wildcapture,crustaceans,prawns,25151,2024
SA,1998,wildcapture,crustaceans,prawns,33247,2759
SA,1999,wildcapture,crustaceans,prawns,39614.54,2760.987
SA,2000,wildcapture,crustaceans,prawns,43771,2416
SA,2001,wildcapture,crustaceans,prawns,52682,2988
SA,2002,wildcapture,crustaceans,prawns,47405,2610
SA,2003,wildcapture,crustaceans,prawns,32459,1740
SA,2004,wildcapture,crustaceans,prawns,43423,2126
SA,2005,wildcapture,crustaceans,prawns,35805,2173
SA,2006,wildcapture,crustaceans,prawns,36909,2070
SA,2007,wildcapture,crustaceans,prawns,42656,2233
SA,2008,wildcapture,crustaceans,prawns,35874,2316
SA,2009,wildcapture,crustaceans,prawns,34289,2188
SA,2010,wildcapture,crustaceans,prawns,31145,2669
SA,2011,wildcapture,crustaceans,prawns,34140,2293
SA,2012,wildcapture,crustaceans,prawns,28588,1965
SA,2013,wildcapture,crustaceans,prawns,30135,1881
SA,2014,wildcapture,crustaceans,prawns,29845,1805
SA,2015,wildcapture,crustaceans,prawns,35569,2097
SA,2016,wildcapture,crustaceans,prawns,45039,2574
SA,2017,wildcapture,crustaceans,prawns,46271,2429
SA,2018,wildcapture,crustaceans,prawns,51181,2577
SA,1989,wildcapture,crustaceans,southern_rock_lobster,26891,2275
SA,1990,wildcapture,crustaceans,southern_rock_lobster,36488,2525
SA,1991,wildcapture,crustaceans,southern_rock_lobster,44931,2666
SA,1992,wildcapture,crustaceans,southern_rock_lobster,44990,2670
SA,1993,wildcapture,crustaceans,southern_rock_lobster,55338,2818
SA,1994,wildcapture,crustaceans,southern_rock_lobster,66583,2599
SA,1995,wildcapture,crustaceans,southern_rock_lobster,66583,2599
SA,1996,wildcapture,crustaceans,southern_rock_lobster,68399,2587
SA,1997,wildcapture,crustaceans,southern_rock_lobster,71379,2528
SA,1998,wildcapture,crustaceans,southern_rock_lobster,78351,2622
SA,1999,wildcapture,crustaceans,southern_rock_lobster,73907.89,2729.028
SA,2000,wildcapture,crustaceans,southern_rock_lobster,81049,2719
SA,2001,wildcapture,crustaceans,southern_rock_lobster,83097,2563
SA,2002,wildcapture,crustaceans,southern_rock_lobster,91862,2392
SA,2003,wildcapture,crustaceans,southern_rock_lobster,82666,2361
SA,2004,wildcapture,crustaceans,southern_rock_lobster,61365,2400
SA,2005,wildcapture,crustaceans,southern_rock_lobster,66041,2343
SA,2006,wildcapture,crustaceans,southern_rock_lobster,81170,2365
SA,2007,wildcapture,crustaceans,southern_rock_lobster,96745,2385
SA,2008,wildcapture,crustaceans,southern_rock_lobster,91666,2309
SA,2009,wildcapture,crustaceans,southern_rock_lobster,104702,1810
SA,2010,wildcapture,crustaceans,southern_rock_lobster,85837,1554
SA,2011,wildcapture,crustaceans,southern_rock_lobster,81326,1557
SA,2012,wildcapture,crustaceans,southern_rock_lobster,96060,1550
SA,2013,wildcapture,crustaceans,southern_rock_lobster,86168,1552
SA,2014,wildcapture,crustaceans,southern_rock_lobster,108465,1577
SA,2015,wildcapture,crustaceans,southern_rock_lobster,124709,1563
SA,2016,wildcapture,crustaceans,southern_rock_lobster,137680,1592
SA,2017,wildcapture,crustaceans,southern_rock_lobster,120082,1559
SA,2018,wildcapture,crustaceans,southern_rock_lobster,122578,1554
SA,1989,wildcapture,crustaceans,crabs,NA,NA
SA,1990,wildcapture,crustaceans,crabs,NA,NA
SA,1991,wildcapture,crustaceans,crabs,NA,NA
SA,1992,wildcapture,crustaceans,crabs,NA,NA
SA,1993,wildcapture,crustaceans,crabs,NA,NA
SA,1994,wildcapture,crustaceans,crabs,NA,NA
SA,1995,wildcapture,crustaceans,crabs,NA,NA
SA,1996,wildcapture,crustaceans,crabs,NA,NA
SA,1997,wildcapture,crustaceans,crabs,NA,NA
SA,1998,wildcapture,crustaceans,crabs,NA,NA
SA,1999,wildcapture,crustaceans,crabs,3863.08,669.242
SA,2000,wildcapture,crustaceans,crabs,3544,646
SA,2001,wildcapture,crustaceans,crabs,4236,739
SA,2002,wildcapture,crustaceans,crabs,4356,705
SA,2003,wildcapture,crustaceans,crabs,4445,706
SA,2004,wildcapture,crustaceans,crabs,4020,707
SA,2005,wildcapture,crustaceans,crabs,4125,780
SA,2006,wildcapture,crustaceans,crabs,4155,791
SA,2007,wildcapture,crustaceans,crabs,5834,720
SA,2008,wildcapture,crustaceans,crabs,6007,732
SA,2009,wildcapture,crustaceans,crabs,5863,756
SA,2010,wildcapture,crustaceans,crabs,4804,663
SA,2011,wildcapture,crustaceans,crabs,5257,710
SA,2012,wildcapture,crustaceans,crabs,5967,748
SA,2013,wildcapture,crustaceans,crabs,4196,652
SA,2014,wildcapture,crustaceans,crabs,4877,684
SA,2015,wildcapture,crustaceans,crabs,4827,668
SA,2016,wildcapture,crustaceans,crabs,5606,726
SA,2017,wildcapture,crustaceans,crabs,5841,724
SA,2018,wildcapture,crustaceans,crabs,5667,669
SA,1989,wildcapture,crustaceans,other_crustaceans,NA,NA
SA,1990,wildcapture,crustaceans,other_crustaceans,1693,504
SA,1991,wildcapture,crustaceans,other_crustaceans,2158,583
SA,1992,wildcapture,crustaceans,other_crustaceans,2165,585
SA,1993,wildcapture,crustaceans,other_crustaceans,1955,593
SA,1994,wildcapture,crustaceans,other_crustaceans,2081,608
SA,1995,wildcapture,crustaceans,other_crustaceans,2081,608
SA,1996,wildcapture,crustaceans,other_crustaceans,2948,726
SA,1997,wildcapture,crustaceans,other_crustaceans,2587,567
SA,1998,wildcapture,crustaceans,other_crustaceans,2587,567
SA,1999,wildcapture,crustaceans,other_crustaceans,10,1.264
SA,2000,wildcapture,crustaceans,other_crustaceans,0,0
SA,2001,wildcapture,crustaceans,other_crustaceans,13,1.613
SA,2002,wildcapture,crustaceans,other_crustaceans,0,0
SA,2003,wildcapture,crustaceans,other_crustaceans,0,0
SA,2004,wildcapture,crustaceans,other_crustaceans,272,21
SA,2005,wildcapture,crustaceans,other_crustaceans,218,20
SA,2006,wildcapture,crustaceans,other_crustaceans,221,19
SA,2007,wildcapture,crustaceans,other_crustaceans,231,18
SA,2008,wildcapture,crustaceans,other_crustaceans,226,18
SA,2009,wildcapture,crustaceans,other_crustaceans,340,22
SA,2010,wildcapture,crustaceans,other_crustaceans,253,19
SA,2011,wildcapture,crustaceans,other_crustaceans,816,42
SA,2012,wildcapture,crustaceans,other_crustaceans,699,21
SA,2013,wildcapture,crustaceans,other_crustaceans,697,22
SA,2014,wildcapture,crustaceans,other_crustaceans,846,17
SA,2015,wildcapture,crustaceans,other_crustaceans,920,17
SA,2016,wildcapture,crustaceans,other_crustaceans,1369,16
SA,2017,wildcapture,crustaceans,other_crustaceans,1297,17
SA,2018,wildcapture,crustaceans,other_crustaceans,1672,18
SA,1989,wildcapture,molluscs,abalone,14542,973
SA,1990,wildcapture,molluscs,abalone,16693,959
SA,1991,wildcapture,molluscs,abalone,14008,863
SA,1992,wildcapture,molluscs,abalone,14056,865
SA,1993,wildcapture,molluscs,abalone,23725,869
SA,1994,wildcapture,molluscs,abalone,27241,802
SA,1995,wildcapture,molluscs,abalone,27241,802
SA,1996,wildcapture,molluscs,abalone,22475,902
SA,1997,wildcapture,molluscs,abalone,25184,903
SA,1998,wildcapture,molluscs,abalone,26883,812
SA,1999,wildcapture,molluscs,abalone,27161.31,933.162
SA,2000,wildcapture,molluscs,abalone,32394,889
SA,2001,wildcapture,molluscs,abalone,40011,867.239
SA,2002,wildcapture,molluscs,abalone,34755,851
SA,2003,wildcapture,molluscs,abalone,36289,890
SA,2004,wildcapture,molluscs,abalone,31508,877
SA,2005,wildcapture,molluscs,abalone,33821,902
SA,2006,wildcapture,molluscs,abalone,33859,896
SA,2007,wildcapture,molluscs,abalone,31529,883
SA,2008,wildcapture,molluscs,abalone,31043,890
SA,2009,wildcapture,molluscs,abalone,30017,838
SA,2010,wildcapture,molluscs,abalone,27857,855
SA,2011,wildcapture,molluscs,abalone,27998,816
SA,2012,wildcapture,molluscs,abalone,28925,823
SA,2013,wildcapture,molluscs,abalone,29625,876
SA,2014,wildcapture,molluscs,abalone,22124,662
SA,2015,wildcapture,molluscs,abalone,25238,745
SA,2016,wildcapture,molluscs,abalone,22206,626
SA,2017,wildcapture,molluscs,abalone,27557,743
SA,2018,wildcapture,molluscs,abalone,27215,700
SA,1989,wildcapture,molluscs,pipi,326,163
SA,1990,wildcapture,molluscs,pipi,148,139
SA,1991,wildcapture,molluscs,pipi,232,293
SA,1992,wildcapture,molluscs,pipi,232,290
SA,1993,wildcapture,molluscs,pipi,295,304
SA,1994,wildcapture,molluscs,pipi,315,380
SA,1995,wildcapture,molluscs,pipi,315,380
SA,1996,wildcapture,molluscs,pipi,382,454
SA,1997,wildcapture,molluscs,pipi,264,345
SA,1998,wildcapture,molluscs,pipi,264,371
SA,1999,wildcapture,molluscs,pipi,952.16,976.34
SA,2000,wildcapture,molluscs,pipi,904,1085
SA,2001,wildcapture,molluscs,pipi,1193,1250.47
SA,2002,wildcapture,molluscs,pipi,1048,1085
SA,2003,wildcapture,molluscs,pipi,1373,1187
SA,2004,wildcapture,molluscs,pipi,1441,1073
SA,2005,wildcapture,molluscs,pipi,1352,1103
SA,2006,wildcapture,molluscs,pipi,1650,1025
SA,2007,wildcapture,molluscs,pipi,1941,994
SA,2008,wildcapture,molluscs,pipi,2044,607
SA,2009,wildcapture,molluscs,pipi,3238,469
SA,2010,wildcapture,molluscs,pipi,2969,300
SA,2011,wildcapture,molluscs,pipi,2221,300
SA,2012,wildcapture,molluscs,pipi,2713,374
SA,2013,wildcapture,molluscs,pipi,3283,443
SA,2014,wildcapture,molluscs,pipi,3118,444
SA,2015,wildcapture,molluscs,pipi,3060,430
SA,2016,wildcapture,molluscs,pipi,3480,492
SA,2017,wildcapture,molluscs,pipi,5063,600
SA,2018,wildcapture,molluscs,pipi,5047,646
SA,1989,wildcapture,molluscs,squid,990,265
SA,1990,wildcapture,molluscs,squid,835,208
SA,1991,wildcapture,molluscs,squid,1069,279
SA,1992,wildcapture,molluscs,squid,1078,280
SA,1993,wildcapture,molluscs,squid,1169,257
SA,1994,wildcapture,molluscs,squid,1352,326
SA,1995,wildcapture,molluscs,squid,1352,326
SA,1996,wildcapture,molluscs,squid,1814,382
SA,1997,wildcapture,molluscs,squid,1730,356
SA,1998,wildcapture,molluscs,squid,2065,425
SA,1999,wildcapture,molluscs,squid,2021.9,435.048
SA,2000,wildcapture,molluscs,squid,1981,400
SA,2001,wildcapture,molluscs,squid,2429,487.752
SA,2002,wildcapture,molluscs,squid,1839,340
SA,2003,wildcapture,molluscs,squid,2950,346
SA,2004,wildcapture,molluscs,squid,2555,302
SA,2005,wildcapture,molluscs,squid,2823,504
SA,2006,wildcapture,molluscs,squid,2101,311
SA,2007,wildcapture,molluscs,squid,2734,297
SA,2008,wildcapture,molluscs,squid,2580,303
SA,2009,wildcapture,molluscs,squid,2606,281
SA,2010,wildcapture,molluscs,squid,3706,399
SA,2011,wildcapture,molluscs,squid,3487,352
SA,2012,wildcapture,molluscs,squid,5449,513
SA,2013,wildcapture,molluscs,squid,4933,459
SA,2014,wildcapture,molluscs,squid,4006,358
SA,2015,wildcapture,molluscs,squid,4859,462
SA,2016,wildcapture,molluscs,squid,5245,427
SA,2017,wildcapture,molluscs,squid,5692,444
SA,2018,wildcapture,molluscs,squid,6683,470
SA,1989,wildcapture,molluscs,other_molluscs,NA,NA
SA,1990,wildcapture,molluscs,other_molluscs,636,369
SA,1991,wildcapture,molluscs,other_molluscs,847,387
SA,1992,wildcapture,molluscs,other_molluscs,845,385
SA,1993,wildcapture,molluscs,other_molluscs,938,578
SA,1994,wildcapture,molluscs,other_molluscs,458,272
SA,1995,wildcapture,molluscs,other_molluscs,458,272
SA,1996,wildcapture,molluscs,other_molluscs,963,397
SA,1997,wildcapture,molluscs,other_molluscs,1200,601
SA,1998,wildcapture,molluscs,other_molluscs,1200,601
SA,1999,wildcapture,molluscs,other_molluscs,899.94,384.77
SA,2000,wildcapture,molluscs,other_molluscs,979,425
SA,2001,wildcapture,molluscs,other_molluscs,1136.15,414.17
SA,2002,wildcapture,molluscs,other_molluscs,974,392.05
SA,2003,wildcapture,molluscs,other_molluscs,1181,362
SA,2004,wildcapture,molluscs,other_molluscs,1709,449
SA,2005,wildcapture,molluscs,other_molluscs,1918,493
SA,2006,wildcapture,molluscs,other_molluscs,1805,504
SA,2007,wildcapture,molluscs,other_molluscs,2158,478
SA,2008,wildcapture,molluscs,other_molluscs,2483,477
SA,2009,wildcapture,molluscs,other_molluscs,2337,386
SA,2010,wildcapture,molluscs,other_molluscs,1904,237
SA,2011,wildcapture,molluscs,other_molluscs,2408,262
SA,2012,wildcapture,molluscs,other_molluscs,1820,194
SA,2013,wildcapture,molluscs,other_molluscs,1685,172
SA,2014,wildcapture,molluscs,other_molluscs,1404,138
SA,2015,wildcapture,molluscs,other_molluscs,1619,159
SA,2016,wildcapture,molluscs,other_molluscs,1492,151
SA,2017,wildcapture,molluscs,other_molluscs,1119,147
SA,2018,wildcapture,molluscs,other_molluscs,1451,120
SA,1989,aquaculture,molluscs,a_abalone,NA,NA
SA,1990,aquaculture,molluscs,a_abalone,NA,NA
SA,1991,aquaculture,molluscs,a_abalone,NA,NA
SA,1992,aquaculture,molluscs,a_abalone,NA,NA
SA,1993,aquaculture,molluscs,a_abalone,NA,NA
SA,1994,aquaculture,molluscs,a_abalone,NA,NA
SA,1995,aquaculture,molluscs,a_abalone,NA,NA
SA,1996,aquaculture,molluscs,a_abalone,NA,NA
SA,1997,aquaculture,molluscs,a_abalone,NA,NA
SA,1998,aquaculture,molluscs,a_abalone,NA,NA
SA,1999,aquaculture,molluscs,a_abalone,856,21
SA,2000,aquaculture,molluscs,a_abalone,2000,40
SA,2001,aquaculture,molluscs,a_abalone,2677,53
SA,2002,aquaculture,molluscs,a_abalone,1901,34
SA,2003,aquaculture,molluscs,a_abalone,3080,59
SA,2004,aquaculture,molluscs,a_abalone,3155,105
SA,2005,aquaculture,molluscs,a_abalone,5318,177
SA,2006,aquaculture,molluscs,a_abalone,8222.08,250
SA,2007,aquaculture,molluscs,a_abalone,7155.14,195.738
SA,2008,aquaculture,molluscs,a_abalone,5151.17,166.927
SA,2009,aquaculture,molluscs,a_abalone,8120.66,227.027
SA,2010,aquaculture,molluscs,a_abalone,10341.31,285.513
SA,2011,aquaculture,molluscs,a_abalone,10841.56,317.353
SA,2012,aquaculture,molluscs,a_abalone,6410.34,178.065
SA,2013,aquaculture,molluscs,a_abalone,8600,236
SA,2014,aquaculture,molluscs,a_abalone,10890,330
SA,2015,aquaculture,molluscs,a_abalone,11400,334
SA,2016,aquaculture,molluscs,a_abalone,14730,350
SA,2017,aquaculture,molluscs,a_abalone,13610,324
SA,2018,aquaculture,molluscs,a_abalone,14240,399
SA,1989,aquaculture,molluscs,blue_mussel,NA,NA
SA,1990,aquaculture,molluscs,blue_mussel,NA,NA
SA,1991,aquaculture,molluscs,blue_mussel,NA,NA
SA,1992,aquaculture,molluscs,blue_mussel,NA,NA
SA,1993,aquaculture,molluscs,blue_mussel,NA,NA
SA,1994,aquaculture,molluscs,blue_mussel,NA,NA
SA,1995,aquaculture,molluscs,blue_mussel,NA,NA
SA,1996,aquaculture,molluscs,blue_mussel,NA,NA
SA,1997,aquaculture,molluscs,blue_mussel,NA,NA
SA,1998,aquaculture,molluscs,blue_mussel,NA,NA
SA,1999,aquaculture,molluscs,blue_mussel,183,84
SA,2000,aquaculture,molluscs,blue_mussel,173,81
SA,2001,aquaculture,molluscs,blue_mussel,260,111
SA,2002,aquaculture,molluscs,blue_mussel,371,171
