Jurisdiction,Year,Sector,Taxa_fishery,Species,ValueAUD,ProductionT
NSW,1989,wild_capture,crustaceans,rock_lobster,1376,79
NSW,1990,wild_capture,crustaceans,rock_lobster,1556,87
NSW,1991,wild_capture,crustaceans,rock_lobster,1672,86
NSW,1992,wild_capture,crustaceans,rock_lobster,1931,90
NSW,1993,wild_capture,crustaceans,rock_lobster,2384,104
NSW,1994,wild_capture,crustaceans,rock_lobster,4477,154
NSW,1995,wild_capture,crustaceans,rock_lobster,4792,154
NSW,1996,wild_capture,crustaceans,rock_lobster,3666,103
NSW,1997,wild_capture,crustaceans,rock_lobster,3778,104
NSW,1998,wild_capture,crustaceans,rock_lobster,3938,107
NSW,1999,wild_capture,crustaceans,rock_lobster,3819,110
NSW,2000,wild_capture,crustaceans,rock_lobster,4600,117
NSW,2001,wild_capture,crustaceans,rock_lobster,4402,103
NSW,2002,wild_capture,crustaceans,rock_lobster,4716,103
NSW,2003,wild_capture,crustaceans,rock_lobster,5432,122
NSW,2004,wild_capture,crustaceans,rock_lobster,4196,108
NSW,2005,wild_capture,crustaceans,rock_lobster,3769,98
NSW,2006,wild_capture,crustaceans,rock_lobster,4162,101
NSW,2007,wild_capture,crustaceans,rock_lobster,5199,110
NSW,2008,wild_capture,crustaceans,rock_lobster,5583,122
NSW,2009,wild_capture,crustaceans,rock_lobster,6677,122
NSW,2010,wild_capture,crustaceans,rock_lobster,6785,122
NSW,2011,wild_capture,crustaceans,rock_lobster,7659,129
NSW,2012,wild_capture,crustaceans,rock_lobster,8096,142
NSW,2013,wild_capture,crustaceans,rock_lobster,7507,138
NSW,2014,wild_capture,crustaceans,rock_lobster,10003,146
NSW,2015,wild_capture,crustaceans,rock_lobster,11430,154
NSW,2016,wild_capture,crustaceans,rock_lobster,11785,158
NSW,2017,wild_capture,crustaceans,rock_lobster,11275,156
NSW,2018,wild_capture,crustaceans,rock_lobster,11565,157
NSW,1989,wild_capture,crustaceans,king_prawn,9243,1000
NSW,1990,wild_capture,crustaceans,king_prawn,8812,1000
NSW,1991,wild_capture,crustaceans,king_prawn,11994,1050
NSW,1992,wild_capture,crustaceans,king_prawn,11550,1050
NSW,1993,wild_capture,crustaceans,king_prawn,7140,804
NSW,1994,wild_capture,crustaceans,king_prawn,12974,970
NSW,1995,wild_capture,crustaceans,king_prawn,10502,907
NSW,1996,wild_capture,crustaceans,king_prawn,12648,831
NSW,1997,wild_capture,crustaceans,king_prawn,11656,701
NSW,1998,wild_capture,crustaceans,king_prawn,11656,701
NSW,1999,wild_capture,crustaceans,king_prawn,15792,871
NSW,2000,wild_capture,crustaceans,king_prawn,19313,959
NSW,2001,wild_capture,crustaceans,king_prawn,24277,1170
NSW,2002,wild_capture,crustaceans,king_prawn,23258,1113
NSW,2003,wild_capture,crustaceans,king_prawn,24109,1180
NSW,2004,wild_capture,crustaceans,king_prawn,17795,849
NSW,2005,wild_capture,crustaceans,king_prawn,12487,606
NSW,2006,wild_capture,crustaceans,king_prawn,10107,524
NSW,2007,wild_capture,crustaceans,king_prawn,10457,543
NSW,2008,wild_capture,crustaceans,king_prawn,14733,770
NSW,2009,wild_capture,crustaceans,king_prawn,10432,567
NSW,2010,wild_capture,crustaceans,king_prawn,10132,579
NSW,2011,wild_capture,crustaceans,king_prawn,9454,499
NSW,2012,wild_capture,crustaceans,king_prawn,8778,491
NSW,2013,wild_capture,crustaceans,king_prawn,11168,664
NSW,2014,wild_capture,crustaceans,king_prawn,11189,588
NSW,2015,wild_capture,crustaceans,king_prawn,12612,619
NSW,2016,wild_capture,crustaceans,king_prawn,10173,525
NSW,2017,wild_capture,crustaceans,king_prawn,15682,767
NSW,2018,wild_capture,crustaceans,king_prawn,14668,560
NSW,1989,wild_capture,crustaceans,school_prawn,6577,1500
NSW,1990,wild_capture,crustaceans,school_prawn,5539,1450
